Factor_A_LR_Label,Factor_A_LR_Value,Factor_B_Depth_Label,Factor_B_Depth_Value,Blocking_Seed,Response_Val_Accuracy
Low,1e-05,Shallow,0,833,0.2471440583467483
Low,1e-05,Shallow,0,578,0.2471440583467483
Low,1e-05,Shallow,0,925,0.2471440583467483
Low,1e-05,Shallow,0,632,0.2471440583467483
Low,1e-05,Shallow,0,884,0.2471440583467483
Low,1e-05,Shallow,0,725,0.2471440583467483
Low,1e-05,Shallow,0,242,0.2471440583467483
Low,1e-05,Shallow,0,56,0.2471440583467483
Low,1e-05,Shallow,0,502,0.2471440583467483
Low,1e-05,Shallow,0,607,0.2471440583467483
Low,1e-05,Shallow,0,724,0.2471440583467483
Low,1e-05,Shallow,0,919,0.2471440583467483
Low,1e-05,Shallow,0,763,0.2471440583467483
Low,1e-05,Shallow,0,471,0.2471440583467483
Low,1e-05,Shallow,0,702,0.2471440583467483
Low,1e-05,Deep,20,54,0.2485371977090835
Low,1e-05,Deep,20,42,0.2471440583467483
Low,1e-05,Deep,20,962,0.2471440583467483
Low,1e-05,Deep,20,402,0.2471440583467483
Low,1e-05,Deep,20,843,0.2488158196210861
Low,1e-05,Deep,20,438,0.1426581293344497
Low,1e-05,Deep,20,236,0.2471440583467483
Low,1e-05,Deep,20,187,0.2471440583467483
Low,1e-05,Deep,20,454,0.2482585608959198
Low,1e-05,Deep,20,264,0.2471440583467483
Low,1e-05,Deep,20,915,0.2471440583467483
Low,1e-05,Deep,20,118,0.2471440583467483
Low,1e-05,Deep,20,500,0.2471440583467483
Low,1e-05,Deep,20,475,0.2479799389839172
Low,1e-05,Deep,20,49,0.2471440583467483
High,0.0001,Shallow,0,172,0.2471440583467483
High,0.0001,Shallow,0,736,0.2471440583467483
High,0.0001,Shallow,0,389,0.2471440583467483
High,0.0001,Shallow,0,755,0.2471440583467483
High,0.0001,Shallow,0,991,0.2471440583467483
High,0.0001,Shallow,0,604,0.2471440583467483
High,0.0001,Shallow,0,283,0.2471440583467483
High,0.0001,Shallow,0,187,0.2471440583467483
High,0.0001,Shallow,0,206,0.2471440583467483
High,0.0001,Shallow,0,906,0.2471440583467483
High,0.0001,Shallow,0,839,0.2471440583467483
High,0.0001,Shallow,0,278,0.2471440583467483
High,0.0001,Shallow,0,207,0.2471440583467483
High,0.0001,Shallow,0,892,0.2471440583467483
High,0.0001,Shallow,0,977,0.2471440583467483
High,0.0001,Deep,20,508,0.2471440583467483
High,0.0001,Deep,20,190,0.2482585608959198
High,0.0001,Deep,20,714,0.2492337673902511
High,0.0001,Deep,20,351,0.2471440583467483
High,0.0001,Deep,20,178,0.2479799389839172
High,0.0001,Deep,20,972,0.2492337673902511
High,0.0001,Deep,20,247,0.2495124042034149
High,0.0001,Deep,20,305,0.2471440583467483
High,0.0001,Deep,20,318,0.2471440583467483
High,0.0001,Deep,20,481,0.25006964802742
High,0.0001,Deep,20,874,0.2471440583467483
High,0.0001,Deep,20,50,0.2477013021707534
High,0.0001,Deep,20,167,0.2471440583467483
High,0.0001,Deep,20,552,0.2497910261154174
High,0.0001,Deep,20,769,0.2471440583467483
